Feature,P-Value,Mean_Lame,Mean_Sound,Diff_Mean
front_hoof_release_angle_alpha1_values_mean,0.001727594934635327,53.151097222222226,61.93170833333333,-8.780611111111106
FR_stance_time_values_mean,0.0021025377348549406,0.7610694444444445,0.5111666666666667,0.2499027777777778
back_height_feature_H_values_mean,0.002555565650653214,18.03592023764634,29.69765439213564,-11.661734154489299
BL_stance_time_values_mean,0.0030907291562319974,0.7725833333333334,0.5587083333333334,0.21387500000000004
FL_stance_time_values_mean,0.005057208182457208,0.8204444444444444,0.5435833333333333,0.2768611111111111
BR_stance_time_values_mean,0.006824605014655049,0.8384027777777776,0.574125,0.2642777777777776
BL_stride_time_values_mean,0.00957851784073124,1.0353030303030304,0.8429166666666666,0.19238636363636374
FL_stride_length_values_std,0.01223089706142591,41.973142640556404,14.446384776894472,27.52675786366193
FR_stride_length_values_mean,0.012625762842686019,252.03256944444448,310.8895614035088,-58.856991959064345
FL_stride_time_values_mean,0.014580044334267411,1.0037121212121212,0.8005208333333333,0.20319128787878782
FR_stride_time_values_mean,0.01665600425691664,0.9875694444444445,0.8007894736842106,0.1867799707602339
FL_stride_length_values_mean,0.016697614260160337,246.8110606060606,304.9126041666667,-58.1015435606061
BR_stride_length_values_mean,0.01676434395918608,276.0940277777778,316.3371296296296,-40.243101851851804
FL_stride_time_values_std,0.021037035553310487,0.12948660132341472,0.07724924908318645,0.05223735224022827
BR_stride_time_values_mean,0.023507306342240308,1.0063888888888888,0.8315740740740741,0.17481481481481465
BL_stride_length_values_mean,0.028098115089472124,270.64704545454543,318.12833333333333,-47.481287878787896
BR_stride_time_values_std,0.05156035186477963,0.07913882610743138,0.059651720289498805,0.019487105817932573
front_hoof_release_angle_alpha2_values_mean,0.09806449013505655,57.7750138888889,61.66333333333334,-3.8883194444444413
BL_stride_length_values_std,0.10573958678029144,66.63044527851041,17.60874368726368,49.021701591246725
hind_hoof_release_angle_alpha2_values_mean,0.13397471560558855,57.05597222222223,56.181999999999995,0.8739722222222355
FL_stance_time_values_std,0.1378313983667506,0.17057560457252183,0.09725347861032395,0.07332212596219788
BL_stride_time_values_std,0.13797607664921524,0.12352536491507445,0.08730746781174667,0.036217897103327776
BR_stance_time_values_std,0.14422937583255085,0.17238377777830582,0.08355215566455694,0.08883162211374888
front_hoof_release_angle_alpha2_values_std,0.14437652319832986,7.7755103227306686,4.9357275949310795,2.839782727799589
BR_stride_length_values_std,0.16818406607933423,16.493002901700127,13.576995234347638,2.9160076673524884
symmetry_ratio_Front / Hind_stance_time,0.19825845982558832,0.9858333333333333,0.943,0.04283333333333339
FR_stride_time_values_std,0.20101540350014113,0.12531750239694414,0.08401792367006063,0.041299578726883515
symmetry_ratio_Left Hind / Right Hind_stride_length,0.20299230829286496,0.9763636363636364,1.0166666666666666,-0.040303030303030174
back_neck_angle_beta1_values_mean,0.2058495392317644,138.59042566556536,145.64759394841272,-7.057168282847357
back_neck_angle_beta2_values_mean,0.2058495392317644,156.19902833141802,155.4632465638528,0.7357817675652143
hind_hoof_release_angle_alpha1_values_mean,0.2201475617987384,69.96520833333334,72.236875,-2.271666666666661
FR_stride_length_values_std,0.2316304030802594,24.772391529152827,26.855292832290736,-2.082901303137909
hind_hoof_release_angle_alpha1_values_std,0.2499806520025235,8.850101501877528,3.0934528832065995,5.756648618670929
hind_hoof_release_angle_alpha2_values_std,0.30141351212615464,6.902186336815009,2.2376249013600313,4.664561435454978
back_neck_angle_beta2_values_std,0.3023012051769085,20.502044108944432,15.813805452898032,4.6882386560463996
symmetry_ratio_Left / Right_stride_length,0.3332117525348832,0.9818181818181819,1.0,-0.018181818181818077
symmetry_ratio_Left / Right_stance_time,0.3905425812544645,1.009166666666667,1.0230000000000001,-0.013833333333333142
symmetry_ratio_Left Front / Right Front_stride_length,0.4205016318196195,0.9945454545454546,1.0399999999999998,-0.04545454545454519
back_height_feature_H_values_std,0.47145633310799484,8.070385810938857,6.003458288892211,2.0669275220466465
symmetry_ratio_Front / Hind_stride_time,0.5551379712037875,0.9783333333333334,0.9631578947368421,0.015175438596491286
BL_stance_time_values_std,0.5717683588811844,0.12077333075594954,0.09170210638749544,0.029071224368454093
front_hoof_release_angle_alpha1_values_std,0.5724739546571727,8.570190431616435,4.614260332889306,3.955930098727129
symmetry_ratio_Front / Hind_stride_length,0.5975604900160454,0.9333333333333332,0.973157894736842,-0.03982456140350876
symmetry_ratio_Left Hind / Right Hind_stance_time,0.6821998285834123,0.9658333333333333,0.9974999999999998,-0.03166666666666651
symmetry_ratio_Left / Right_stride_time,0.7516505868564725,1.0054545454545456,1.0166666666666666,-0.011212121212121007
FR_stance_time_values_std,0.8002588189677474,0.13331495691232137,0.10426623463362841,0.029048722278692957
symmetry_ratio_Left Front / Right Front_stance_time,0.9224358082218655,1.0641666666666667,1.097,-0.03283333333333327
back_neck_angle_beta1_values_std,0.95344003441657,17.28322478663783,14.837138235095065,2.4460865515427663
symmetry_ratio_Left Front / Right Front_stride_time,0.9585375574360406,1.0027272727272727,1.006,-0.003272727272727316
symmetry_ratio_Left Hind / Right Hind_stride_time,1.0,1.01,1.02,-0.010000000000000009
